NA,NA,NA,NA,2,NA,NA,NA,17,37,NA,NA,1,NA,NA,NA,NA,13,22,NA,NA,85,NA,NA,NA,NA,NA,NA
NA,2,NA,NA,11,NA,NA,NA,35,13,NA,NA,2,NA,NA,NA,NA,4,5,NA,NA,39,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,7,NA,NA,NA,NA,NA,NA,NA,3,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,20,NA,NA,NA,NA,NA,NA,NA,0,NA,4
NA,NA,NA,NA,49,NA,NA,NA,64,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,83,64,NA,NA,4,4,7,NA
NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15,NA,NA,NA,63,76,NA,NA,3,NA,15,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,3,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,5,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,12,NA,NA,25,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,70,NA,14,87,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,102,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,29,NA,NA,NA,71,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,15,NA,NA,34,7,NA,NA,46,31,NA,NA,0,0,NA,NA,NA,1,2,NA,0,0,NA,NA,NA,0,NA,NA
49,40,NA,NA,54,NA,NA,NA,116,130,NA,NA,1,0,NA,NA,NA,0,0,NA,2,2,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,2,0,NA,1,0,NA,NA,NA,0,NA,NA
20,21,NA,NA,31,NA,NA,NA,43,NA,NA,NA,NA,0,6,NA,0,NA,0,NA,NA,4,4,NA,0,NA,3,NA
20,21,NA,NA,19,NA,NA,NA,30,NA,NA,NA,NA,2,2,NA,0,NA,0,NA,NA,6,3,NA,0,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA
