,R1N1,R1N2,R2N1,R2N2,R3N1,R3N2
Nodaway_Redhead,-,-,38,-,-,-
Nodaway_Sanctuary,-,-,2,-,17,37
Nodaway_Ash,-,2,11,-,35,13
Squaw Creek North Pintail,-,-,2,-,-,-
Squaw Creek Snowgoose B,-,-,21,-,-,-
Squaw Creek Snowgoose c,-,-,16,-,-,-
Squaw Creek Mallard,-,-,49,-,64,79
Swan Lake MS_4,12,15,34,7,46,31
Swan Lake MS_5,49,40,54,-,116,130
Swan Lake Swan Lake,-,-,12,-,-,-
Swan Lake MS10,20,21,31,-,43,-
Swan Lake MS11,20,21,19,-,30,-
Fountain Grove Pool 3,-,-,-,-,41,10
Fountain Grove Pool 2,-,-,29,-,71,36
Fountain Grove PE,-,-,2,-,-,-
Grand Pass Pool 5,-,-,4,-,-,-
Grand Pass Pool 7,-,-,11,-,-,-
Ted Shanks_4,1,-,20,13,-,-
Ted Shanks Nose Slough,-,-,-,-,78,60
Ted Shanks 11A,3,-,8,-,-,-
BK Leach 1,3,,-,-,-,-
BK Leach 2,24,,-,-,-,-
BK Leach 3,2,,-,-,-,-
BK Leech Kings 2,-,-,19,7,14,62
KB Leech Kings 6,-,-,-,11,13,17
Clarence_Cannon_MSU2,30,-,3,-,-,-
Clarence_Cannon _MSU7,3,-,-,-,2,3
Clarence_Cannon_MSU1,-,-,34,-,16,10
Duck Creek A/B,-,-,21,10,11,6
Otter Slough R7,0,-,5,3,-,-
Otter Slough R9,1,-,26,-,14,30
Otter Slough R4,4,-,-,10,5,-
Otter Slough R6,1,-,-,-,-,-
Otter Slough 17,1,-,-,-,-,-
Otter Slough 21,-,-,-,-,16,-
Otter Slough 25,-,-,-,-,25,20
Mingo NWR 1N,-,-,0,-,0,-
Mingo NWR 4W,-,-,1,-,2,-
Mingo NWR 2N,-,-,0,-,0,-
Mingo NWR 3N,-,-,0,-,0,-
