,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,,,,
,,Round 1,,,,Round 2,,,,Round 3,,,,Round 1,,,,ROUND 2,,,,Round 3,,,,Round 4,,,
,,Night 1,Night 2,,,Night 1,Night 2,,,Night 1,Night 2,,,Night 1a,Night 2a,Night 3a,,NIGHT 1,NIGHT 2,NIGHT 3,,NIGHT 1,NIGHT 2,NIGHT 3,Night 4,NIGHT 1,NIGHT 2,NIGHT 3,Night 4
Nodaway,Sanctuary,-,-,,,2,-,,,17,37,,,1,-,-,,-,13,22,,-,85,-,-,-,-,-,-
,Ash Grove,-,2,,,11,-,,,35,13,,,2,-,-,,-,4,5,,-,39,-,-,-,-,-,-
,Redhead,-,-,,,38,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
Squaw Creek,N Mallard N,-,-,,,-,-,,,-,-,,,-,-,0,,2,7,-,,-,-,-,-,-,3,-,1
,N Mallard S,-,-,,,-,-,,,-,-,,,-,-,1,,7,20,-,,-,-,-,-,-,0,-,4
,North Mallard,-,-,,,49,-,,,64,79,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,N Pintail,-,-,,,2,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,Snowgoose B,-,-,,,21,-,,,-,-,,,-,-,0,,0,-,-,,83,64,-,-,4,4,7,-
,Snowgoose C,-,-,,,16,-,,,-,-,,,-,-,0,,15,-,-,,63,76,-,-,3,-,15,-
,Snowgoose D,-,-,,,-,-,,,-,-,,,-,-,0,,0,-,-,,-,3,-,-,0,-,1,-
,Snowgoose E,-,-,,,-,-,,,-,-,,,-,-,0,,0,-,-,,-,5,-,-,0,-,-,-
Fountain Grove,Pool2N,-,-,,,-,-,,,-,-,,,0,-,0,,0,0,-,,12,-,-,25,-,-,-,-
,Pool2S,-,-,,,-,-,,,-,-,,,0,-,0,,0,0,-,,70,-,14,87,-,-,-,-
,Pool3N,-,-,,,-,-,,,-,-,,,0,-,0,,0,0,-,,-,-,-,-,-,-,-,-
,Pool3S,-,-,,,-,-,,,-,-,,,0,-,0,,0,0,-,,-,-,-,-,-,-,-,-
,Pool 1,-,-,,,-,-,,,-,-,,,-,-,-,,-,-,-,,-,-,82,102,-,-,-,-
,Pool 2,-,-,,,-,-,,,41,10,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,Pool 3,-,-,,,29,-,,,71,36,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,Boardwalk,-,-,,,2,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
Swan Lake,M4,12,15,,,34,7,,,46,31,,,0,0,-,,-,1,2,,0,0,-,-,-,0,-,-
,M5,49,40,,,54,-,,,116,130,,,1,0,-,,-,0,0,,2,2,-,-,-,0,-,-
,Swan Lake,-,-,,,12,-,,,-,-,,,0,0,-,,-,2,0,,1,0,-,-,-,0,-,-
,M10,20,21,,,31,-,,,43,-,,,-,0,6,,0,-,0,,-,4,4,-,0,-,3,-
,M11,20,21,,,19,-,,,30,-,,,-,2,2,,0,-,0,,-,6,3,-,0,-,0,-
,M3,-,-,,,-,-,,,-,-,,,-,-,-,,-,-,0,,-,-,-,-,-,0,-,-
,M14,-,-,,,-,-,,,-,-,,,-,-,-,,-,-,-,,43,22,-,-,-,0,-,-
,Pool 5,-,-,,,4,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,Pool 7,-,-,,,11,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
Ted Shanks,Nose Slough,-,-,,,-,-,,,78,60,,,0,-,0,,-,-,-,,-,-,-,-,-,-,-,-
,4a,1,-,,,20,13,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,11a,3,-,,,8,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
Clarence Cannon,MSU 7,3,-,,,-,-,,,2,3,,,0,1,-,,-,-,-,,-,-,-,-,-,-,-,-
,Msu 1,-,-,,,34,-,,,16,10,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,Msu 2,30,-,,,3,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
BK Leach,BitterBasin 1,3,-,,,-,-,,,-,-,,,-,5,15,,23,26,23,,15,-,-,-,-,-,-,-
,BitternBasin 2,24,-,,,-,-,,,-,-,,,-,8,5,,36,21,36,,16,-,-,-,-,-,-,-
,BitternBasin 3,2,-,,,-,-,,,-,-,,,-,0,-,,-,3,-,,-,-,-,-,-,-,-,-
,KINGS 2,-,-,,,19,7,,,14,62,,,-,-,-,,-,73,90,,29,20,-,-,-,-,-,-
,KINGS 6,-,-,,,-,11,,,13,17,,,-,-,-,,-,25,19,,2,-,-,-,-,-,-,-
Mingo,MS 6,-,-,,,-,-,,,-,-,,,-,0,0,,0,-,-,,-,-,-,-,0,-,0,-
,MS 2N,-,-,,,0,-,,,0,-,,,-,0,0,,0,-,-,,-,-,-,-,0,-,0,-
,MS 2S,-,-,,,-,-,,,-,-,,,-,0,0,,1,-,-,,-,-,-,-,0,-,0,-
,MS3,-,-,,,0,-,,,0,-,,,-,0,0,,0,-,-,,-,-,-,-,0,-,0,-
,1N,-,-,,,0,-,,,0,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,4W,-,-,,,1,-,,,2,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
Otter Slough,21,-,-,,,-,-,,,16,-,,,0,0,-,,-,6,0,,-,23,-,-,-,-,-,-
,R7,0,-,,,5,3,,,-,-,,,1,1,-,,-,7,0,,-,9,-,-,-,-,-,-
,R4/5,4,-,,,-,10,,,5,-,,,0,0,-,,-,26,1,,-,13,-,-,-,-,-,-
,25,-,-,,,-,-,,,25,20,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,R9,1,-,,,26,-,,,14,30,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,R6,1,-,,,-,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
,17,1,-,,,-,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
Duck Creek,Unit A E,-,-,,,-,-,,,-,-,,,1,-,0,,20,12,20,,-,-,4,-,-,-,-,-
,Unit A W,-,-,,,-,-,,,-,-,,,0,-,0,,16,2,16,,-,-,44,-,-,-,-,-
,Unit A,-,-,,,21,10,,,11,6,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-
