,R1N1,R1N2,R2N1,R2N2,R3N1,R3N2
Nodaway_Redhead,1,-,1,-,-,-
Nodaway_Sanctuary,-,1,1,-,1,1
Nodaway_Ash,-,1,1,-,1,1
Squaw Creek North Pintail,-,-,1,-,-,-
Squaw Creek Snowgoose A,-,-,1,-,-,-
Squaw Creek Snowgoose B,-,-,1,-,-,-
Squaw Creek Mallard,-,-,1,-,1,1
Swan Lake MS_4,1,1,1,-,1,1
Swan Lake MS_5,1,1,1,-,1,1
Swan Lake Swan Lake,-,-,1,-,1,-
Swan Lake MS10,1,1,1,-,1,-
Swan Lake MS11,1,1,1,-,1,-
Fountain Grove Pool 3,-,-,-,-,1,1
Fountain Grove Pool 2,-,-,1,-,1,1
Fountain Grove PE,-,-,1,-,-,-
Grand Pass Pool 5,-,-,1,-,-,-
Grand Pass Pool 7,-,-,1,-,-,-
Ted Shanks_4,1,-,1,1,-,-
Ted Shanks Nose Slough,-,-,-,-,1,1
Ted Shanks 11A,1,-,1,1,-,-
BK Leach 1,1,,-,-,-,-
BK Leach 2,1,,-,-,-,-
BK Leach 3,1,,-,-,-,-
BK Leech Kings 2,-,-,1,1,1,1
KB Leech Kings 6,-,-,-,1,1,1
Clarence_Cannon_MSU2,1,-,1,-,-,-
Clarence_Cannon _MSU7,1,-,-,-,1,1
Clarence_Cannon_MSU1,-,-,1,-,1,1
Duck Creek A/B,-,-,1,1,1,1
Otter Slough R7,1,-,1,1,1,-
Otter Slough R9,1,-,1,-,1,1
Otter Slough R4,1,-,1,1,1,-
Otter Slough R6,1,-,1,-,-,-
Otter Slough 17,1,-,1,-,-,-
Otter Slough 21,-,-,-,-,1,-
Otter Slough 25,-,-,-,-,1,1
Mingo NWR 1N,-,-,0,-,0,-
Mingo NWR 4W,-,-,1,-,1,-
Mingo NWR 2N,-,-,0,-,0,-
Mingo NWR 3N,-,-,0,-,0,-
