"ir","length","jdate","impound","area","round","region","year","int","short","tall","pe","pcgrass","up","bg","water","wood","other","crop","averagewater","waterp","woodp","dead","scale_int","scale_short","scale_tall","scale_up","scale_bg","scale_water","scale_wood","scale_other","scale_crop","scale_central","scale_north","scale_east","scale_south","scale_west","scale_averagewater"
"ash_1","3.8","229","ash","nvca",1,"nw",2012,0.0148780487804878,22.780487804878,43.1951219512195,NA,NA,15.4878048780488,0,0.634146341463415,17.6585365853659,0.24390243902439,0,23.3463414634146,0.121951219512195,0.780487804878049,NA,-0.49944348883636,-0.455334559651916,0.537577783153429,0.196564389492809,-0.445030834486618,-0.622730539995198,1.7879605977281,-0.534893561961627,-0.30664391697793,0.903471293974783,0.880818405798393,0.91156344517268,0.882064704798758,0.831031744249751,0.924965682283067
"ash_2","3.8","247","ash","nvca",2,"nw",2012,0.0148780487804878,22.780487804878,43.1951219512195,NA,NA,15.4878048780488,0,0.634146341463415,17.6585365853659,0.24390243902439,0,23.3463414634146,0.121951219512195,0.780487804878049,NA,-0.49944348883636,-0.455334559651916,0.537577783153429,0.196564389492809,-0.445030834486618,-0.622730539995198,1.7879605977281,-0.534893561961627,-0.30664391697793,0.903471293974783,0.880818405798393,0.91156344517268,0.882064704798758,0.831031744249751,0.924965682283067
"ash_3","3.8","265","ash","nvca",3,"nw",2012,0.0148780487804878,22.780487804878,43.1951219512195,NA,NA,15.4878048780488,0,0.634146341463415,17.6585365853659,0.24390243902439,0,23.3463414634146,0.121951219512195,0.780487804878049,NA,-0.49944348883636,-0.455334559651916,0.537577783153429,0.196564389492809,-0.445030834486618,-0.622730539995198,1.7879605977281,-0.534893561961627,-0.30664391697793,0.903471293974783,0.880818405798393,0.91156344517268,0.882064704798758,0.831031744249751,0.924965682283067
"ccmsu1_2","5.4","257","ccmsu1","ccnwr",2,"ne",2012,0,96.4150943396226,0,NA,NA,0.377358490566038,0.0943396226415094,0,0.660377358490566,2.16981132075472,0,0,0,0.0754716981132075,NA,-0.705586693368121,1.8243716851848,-0.923024269472271,-0.491202466547974,-0.437045550916027,-0.673086886408374,-0.325557813399225,-0.296992973566296,-0.30664391697793,-0.918342868631807,-0.880352850724471,-0.900358228088198,-0.886981068266186,-0.879694947538296,-0.937007663613963
"ccmsu1_3","5.4","276","ccmsu1","ccnwr",3,"ne",2012,0,21.7209302325581,60.8837209302326,NA,NA,12.4418604651163,0.162790697674419,0,0.232558139534884,4.25581395348837,0.162790697674419,0.13953488372093,0,0.0930232558139535,NA,-0.705586693368121,-0.48813815741735,1.13570096951683,0.0579252282902016,-0.431251577720621,-0.673086886408374,-0.378752031892445,-0.0393165806542489,-0.28620709592865,-0.912816637602667,-0.867940185254024,-0.886153531302195,-0.866347862464134,-0.879694947538296,-0.925879143339455
"ccmsu2_1","5.4","240","ccmsu2","ccnwr",1,"ne",2012,0.0373913043478261,61.6521739130435,12.9565217391304,NA,NA,2.39130434782609,3.1304347826087,8.47826086956522,0,11.3913043478261,0,1.95652173913043,0.347826086956522,0,NA,-0.18751047157269,0.748121664783857,-0.484911783797737,-0.399535736461726,-0.180058294439868,0.000155571072130143,-0.407667863483631,0.842104850756891,-0.30664391697793,-0.777143661322034,-0.681441813993088,-0.741018585879994,-0.690890855154657,-0.831135134215595,-0.780966455417048
"ccmsu2_2","3.1","257","ccmsu2","ccnwr",2,"ne",2012,0.0373913043478261,61.6521739130435,12.9565217391304,NA,NA,2.39130434782609,3.1304347826087,8.47826086956522,0,11.3913043478261,0,1.95652173913043,0.347826086956522,0,NA,-0.18751047157269,0.748121664783857,-0.484911783797737,-0.399535736461726,-0.180058294439868,0.000155571072130143,-0.407667863483631,0.842104850756891,-0.30664391697793,-0.777143661322034,-0.681441813993088,-0.741018585879994,-0.690890855154657,-0.831135134215595,-0.780966455417048
"ccmsu7_1","4.9","240","ccmsu7","ccnwr",1,"ne",2012,0.055,43.5,0,NA,NA,12.5,30,10,5,0,0,7.66,0.6,0.2,NA,0.0564672840402751,0.186135580056136,-0.923024269472271,0.060571506506825,2.0942893409614,0.120993960876323,0.214022515726874,-0.565021951889829,-0.30664391697793,-0.324273032999223,-0.29323377397234,-0.320096364379987,-0.347250793160847,-0.26913622802753,-0.326088995611016
"ccmsu7_3","4.9","276","ccmsu7","ccnwr",3,"ne",2012,0.111764705882353,12.3529411764706,27.2352941176471,NA,NA,14.2352941176471,36.1176470588235,7.11764705882353,2.94117647058824,0,0,16.6823529411765,0.882352941176471,0.176470588235294,NA,0.842972191205091,-0.778168404847922,-0.00208864769017189,0.139555128101806,2.6121114943861,-0.107888165693972,-0.0419676404186279,-0.565021951889829,-0.30664391697793,0.47480913806735,0.644631764216129,0.339210459090334,0.300338553843061,0.127683140607157,0.393483307401517
"dc13_3","1.8","278","dc13","dcca",3,"se",2012,0.14,4,41,NA,NA,46.6666666666667,6.33333333333333,3.66666666666667,1.66666666666667,0,0,3.2,1,0.333333333333333,NA,1.2341870673078,-1.03677306180047,0.463351817746138,1.61570100514246,0.0910478692190753,-0.381923909070652,-0.200437737080129,-0.565021951889829,-0.30664391697793,-0.918342868631807,-0.880352850724471,-0.518607001964375,-0.196914963108675,-0.755597646824726,-0.681793598651897
