"impound","[0,1]1","(1,2]1","(2,3]1","(3,4]1","(4,5]1","[0,1]2","(1,2]2","(2,3]2","(3,4]2","(4,5]2","[0,1]3","(1,2]3","(2,3]3","(3,4]3","(4,5]3","round","ir"
"ash",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ash_1"
"ccmsu2",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,"ccmsu2_1"
"ccmsu7",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,"ccmsu7_1"
"m10",15,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,"m10_1"
"m4",2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,"m4_1"
"m5",26,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,"m5_1"
"r8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"r8_1"
"r9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"r9_1"
"sanctuary",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sanctuary_1"
"ts4a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ts4a_1"
"ash",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"ash_2"
"ccmsu1",0,0,0,0,0,27,3,2,1,0,0,0,0,0,0,2,"ccmsu1_2"
"ccmsu2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,"ccmsu2_2"
"dc14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"dc14_2"
"dc15",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"dc15_2"
"dc18",9,1,1,2,1,0,0,0,0,0,0,0,1,1,2,2,"dc18_2"
"dc20",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,"dc20_2"
"kt2",12,1,2,1,1,5,2,0,0,0,0,0,0,0,0,2,"kt2_2"
"kt6",0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,2,"kt6_2"
"m10",0,0,0,0,0,0,0,0,0,0,23,12,15,3,1,2,"m10_2"
"m11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"m11_2"
"m4",0,0,0,0,0,0,0,0,0,0,23,4,3,3,1,2,"m4_2"
"m5",0,0,0,0,0,0,0,0,0,0,14,12,9,4,5,2,"m5_2"
"pool3",9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,"pool3_2"
"pool5",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,"pool5_2"
"pool7",0,0,0,0,0,4,2,3,0,1,0,0,0,0,0,2,"pool7_2"
"r3",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"r3_2"
"r7",0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,2,"r7_2"
"r8",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"r8_2"
"r9",0,0,0,0,0,19,5,1,1,0,0,0,0,0,0,2,"r9_2"
"sanctuary",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sanctuary_2"
"ts4a",4,4,7,1,3,0,0,0,0,0,8,2,0,1,2,2,"ts4a_2"
"ash",14,13,4,1,1,9,1,0,0,3,0,0,0,0,0,3,"ash_3"
"ccmsu1",0,0,0,0,0,7,6,3,0,0,7,0,2,0,0,3,"ccmsu1_3"
"ccmsu7",0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,3,"ccmsu7_3"
"dc13",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"dc13_3"
"dc18",2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,3,"dc18_3"
"dc20",0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,"dc20_3"
"kt2",4,6,1,1,2,50,8,4,0,0,0,0,0,0,0,3,"kt2_3"
"kt6",0,0,0,0,0,14,1,2,0,0,0,0,0,0,0,3,"kt6_3"
"m10",0,0,0,0,0,14,4,3,4,2,0,0,0,0,0,3,"m10_3"
"m4",0,0,0,0,0,24,7,5,1,7,21,5,7,3,0,3,"m4_3"
"m5",0,0,0,0,0,63,26,17,2,3,40,15,7,3,2,3,"m5_3"
"os21",0,0,0,0,0,9,2,3,1,0,0,0,0,0,0,3,"os21_3"
"os25",0,0,0,0,0,12,8,1,1,1,11,0,2,3,2,3,"os25_3"
"pool2",0,0,0,0,0,0,0,0,0,0,20,3,5,2,2,3,"pool2_3"
"pool3",51,22,11,7,3,1,0,0,0,0,2,1,1,1,4,3,"pool3_3"
"r9",0,0,0,0,0,9,1,3,1,0,17,6,4,0,1,3,"r9_3"
"sanctuary",9,5,2,1,0,12,7,8,2,5,0,0,0,0,0,3,"sanctuary_3"
